split,model_name,threshold,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,specificity,number_of_samples,number_of_truth,number_of_lie
realtime_simulation,random_forest,0.05,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.06,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.07,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.08,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.09,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.1,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.11,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.12,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.13,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.14,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.15,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.16,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.17,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.18,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.19,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.2,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.21,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.22,0.5119617224880383,0.5,0.5119617224880383,1.0,0.6772151898734177,1.0,0.0,0.0,209,102,107
realtime_simulation,random_forest,0.23,0.5167464114832536,0.5049019607843137,0.5144230769230769,1.0,0.6793650793650794,0.9901960784313726,0.0,0.00980392156862745,209,102,107
realtime_simulation,random_forest,0.24,0.5167464114832536,0.5049019607843137,0.5144230769230769,1.0,0.6793650793650794,0.9901960784313726,0.0,0.00980392156862745,209,102,107
realtime_simulation,random_forest,0.25,0.5167464114832536,0.5049019607843137,0.5144230769230769,1.0,0.6793650793650794,0.9901960784313726,0.0,0.00980392156862745,209,102,107
realtime_simulation,random_forest,0.26,0.5263157894736842,0.5147058823529411,0.5194174757281553,1.0,0.6837060702875399,0.9705882352941176,0.0,0.029411764705882353,209,102,107
realtime_simulation,random_forest,0.27,0.5167464114832536,0.5053600879604178,0.5147058823529411,0.9813084112149533,0.6752411575562701,0.9705882352941176,0.018691588785046728,0.029411764705882353,209,102,107
realtime_simulation,random_forest,0.28,0.5215311004784688,0.5102620487447316,0.5172413793103449,0.9813084112149533,0.6774193548387096,0.9607843137254902,0.018691588785046728,0.0392156862745098,209,102,107
realtime_simulation,random_forest,0.29,0.5215311004784688,0.5102620487447316,0.5172413793103449,0.9813084112149533,0.6774193548387096,0.9607843137254902,0.018691588785046728,0.0392156862745098,209,102,107
realtime_simulation,random_forest,0.3,0.5215311004784688,0.5102620487447316,0.5172413793103449,0.9813084112149533,0.6774193548387096,0.9607843137254902,0.018691588785046728,0.0392156862745098,209,102,107
realtime_simulation,random_forest,0.31,0.5215311004784688,0.5102620487447316,0.5172413793103449,0.9813084112149533,0.6774193548387096,0.9607843137254902,0.018691588785046728,0.0392156862745098,209,102,107
realtime_simulation,random_forest,0.32,0.5215311004784688,0.5104911123327835,0.5174129353233831,0.9719626168224299,0.6753246753246753,0.9509803921568627,0.028037383177570093,0.049019607843137254,209,102,107
realtime_simulation,random_forest,0.33,0.5263157894736842,0.5153930731170973,0.52,0.9719626168224299,0.6775244299674267,0.9411764705882353,0.028037383177570093,0.058823529411764705,209,102,107
realtime_simulation,random_forest,0.34,0.5311004784688995,0.5202950339014111,0.5226130653266332,0.9719626168224299,0.6797385620915033,0.9313725490196079,0.028037383177570093,0.06862745098039216,209,102,107
realtime_simulation,random_forest,0.35,0.5358851674641149,0.5254260582737768,0.5255102040816326,0.9626168224299065,0.6798679867986799,0.9117647058823529,0.037383177570093455,0.08823529411764706,209,102,107
realtime_simulation,random_forest,0.36,0.5311004784688995,0.5207531610775151,0.5230769230769231,0.9532710280373832,0.6754966887417219,0.9117647058823529,0.04672897196261682,0.08823529411764706,209,102,107
realtime_simulation,random_forest,0.37,0.5358851674641149,0.5256551218618288,0.5257731958762887,0.9532710280373832,0.6777408637873754,0.9019607843137255,0.04672897196261682,0.09803921568627451,209,102,107
realtime_simulation,random_forest,0.38,0.5263157894736842,0.5165383910573575,0.5210526315789473,0.9252336448598131,0.6666666666666666,0.8921568627450981,0.07476635514018691,0.10784313725490197,209,102,107
realtime_simulation,random_forest,0.39,0.5358851674641149,0.526342312625985,0.526595744680851,0.9252336448598131,0.6711864406779661,0.8725490196078431,0.07476635514018691,0.12745098039215685,209,102,107
realtime_simulation,random_forest,0.4,0.5311004784688995,0.5216694154297232,0.5240641711229946,0.9158878504672897,0.6666666666666666,0.8725490196078431,0.08411214953271028,0.12745098039215685,209,102,107
realtime_simulation,random_forest,0.41,0.5311004784688995,0.5223566061938794,0.5248618784530387,0.8878504672897196,0.6597222222222222,0.8431372549019608,0.11214953271028037,0.1568627450980392,209,102,107
realtime_simulation,random_forest,0.42,0.5598086124401914,0.5522264980758659,0.543859649122807,0.8691588785046729,0.6690647482014388,0.7647058823529411,0.1308411214953271,0.23529411764705882,209,102,107
realtime_simulation,random_forest,0.43,0.5741626794258373,0.5671614440168591,0.5542168674698795,0.8598130841121495,0.673992673992674,0.7254901960784313,0.14018691588785046,0.27450980392156865,209,102,107
realtime_simulation,random_forest,0.44,0.5550239234449761,0.5493861095840205,0.5454545454545454,0.7850467289719626,0.6436781609195402,0.6862745098039216,0.21495327102803738,0.3137254901960784,209,102,107
realtime_simulation,random_forest,0.45,0.5358851674641149,0.5306945207989737,0.5333333333333333,0.7476635514018691,0.622568093385214,0.6862745098039216,0.2523364485981308,0.3137254901960784,209,102,107
realtime_simulation,random_forest,0.46,0.5311004784688995,0.5271669415429723,0.5323741007194245,0.6915887850467289,0.6016260162601627,0.6372549019607843,0.308411214953271,0.3627450980392157,209,102,107
realtime_simulation,random_forest,0.47,0.5311004784688995,0.5285413230712845,0.5354330708661418,0.6355140186915887,0.5811965811965812,0.5784313725490197,0.3644859813084112,0.4215686274509804,209,102,107
realtime_simulation,random_forest,0.48,0.5119617224880383,0.510307861462342,0.5210084033613446,0.5794392523364486,0.5486725663716814,0.5588235294117647,0.4205607476635514,0.4411764705882353,209,102,107
realtime_simulation,random_forest,0.49,0.5119617224880383,0.5114531794026022,0.5229357798165137,0.5327102803738317,0.5277777777777778,0.5098039215686274,0.4672897196261682,0.49019607843137253,209,102,107
realtime_simulation,random_forest,0.5,0.4880382775119617,0.48831775700934577,0.5,0.4766355140186916,0.4880382775119617,0.5,0.5233644859813084,0.5,209,102,107
realtime_simulation,random_forest,0.51,0.49760765550239233,0.49857980575407734,0.5104166666666666,0.45794392523364486,0.4827586206896552,0.46078431372549017,0.5420560747663551,0.5392156862745098,209,102,107
realtime_simulation,random_forest,0.52,0.507177033492823,0.509299981674913,0.5232558139534884,0.4205607476635514,0.46632124352331605,0.4019607843137255,0.5794392523364486,0.5980392156862745,209,102,107
realtime_simulation,random_forest,0.53,0.49760765550239233,0.5006413780465457,0.5128205128205128,0.37383177570093457,0.43243243243243246,0.37254901960784315,0.6261682242990654,0.6274509803921569,209,102,107
realtime_simulation,random_forest,0.54,0.4784688995215311,0.48240791643760306,0.4857142857142857,0.3177570093457944,0.384180790960452,0.35294117647058826,0.6822429906542056,0.6470588235294118,209,102,107
realtime_simulation,random_forest,0.55,0.4880382775119617,0.4922118380062305,0.5,0.3177570093457944,0.38857142857142857,0.3333333333333333,0.6822429906542056,0.6666666666666666,209,102,107
realtime_simulation,random_forest,0.56,0.4880382775119617,0.4928990287703866,0.5,0.2897196261682243,0.3668639053254438,0.30392156862745096,0.7102803738317757,0.696078431372549,209,102,107
realtime_simulation,random_forest,0.57,0.48325358851674644,0.4889133223382811,0.4909090909090909,0.2523364485981308,0.3333333333333333,0.27450980392156865,0.7476635514018691,0.7254901960784313,209,102,107
