split,model_name,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,false_positive_rate,false_negative_rate,number_of_samples,number_of_truth,number_of_lie
validation,logistic_regression,0.125,0.125,0.2,0.25,0.2222222222222222,0.125,0.3988095238095238,1.0,0.75,8,4,4
validation,random_forest,0.5,0.5,0.5,0.75,0.6,0.25,0.4303571428571429,0.75,0.25,8,4,4
test,logistic_regression,0.4583333333333333,0.4583333333333333,0.47058823529411764,0.6666666666666666,0.5517241379310345,0.6111111111111112,0.702391395154553,0.75,0.3333333333333333,24,12,12
test,random_forest,0.625,0.625,0.6,0.75,0.6666666666666666,0.5694444444444444,0.5748454031348769,0.5,0.25,24,12,12
