received_at,session_id,trial_id,prediction_count,usable_prediction_count,insufficient_data_count,mean_probability,max_probability,final_smoothed_probability,final_risk_category,mean_latency_ms,max_latency_ms
2026-06-01T14:29:42,WS_TEST_001,T001,3,3,0,0.40833333333333327,0.475,0.40833333333333327,medium,75.22856667249773,93.08079996844754
2026-06-01T14:29:43,WS_TEST_001,T002,5,5,0,0.37,0.455,0.37833333333333335,low,73.88381998753175,96.7219999874942
2026-06-01T14:29:43,WS_TEST_001,T003,3,3,0,0.40166666666666667,0.51,0.40166666666666667,medium,61.56009998327742,71.40709995292127
2026-06-01T14:29:43,WS_TEST_001,T004,4,4,0,0.5375,0.61,0.5750000000000001,medium,61.23807500989642,69.50580002740026
2026-06-01T14:29:43,WS_TEST_001,T005,4,4,0,0.6475,0.795,0.7283333333333334,high,61.611250013811514,73.41940002515912
