rank,model_name,split_used,f1,accuracy,balanced_accuracy,precision,recall,roc_auc,false_positive_rate,false_negative_rate,number_of_samples
1,random_forest,test,0.6666666666666666,0.625,0.625,0.6,0.75,0.5694444444444444,0.5,0.25,24
2,gru,test,0.6060606060606061,0.4583333333333333,0.4583333333333333,0.4761904761904761,0.8333333333333334,0.4097222222222222,0.9166666666666666,0.1666666666666666,24
3,logistic_regression,test,0.5517241379310345,0.4583333333333333,0.4583333333333333,0.4705882352941176,0.6666666666666666,0.6111111111111112,0.75,0.3333333333333333,24
4,causal_tcn,test,0.3157894736842105,0.4583333333333333,0.4583333333333333,0.4285714285714285,0.25,0.4930555555555556,0.3333333333333333,0.75,24
5,lstm,test,0.0,0.5,0.5,0.0,0.0,0.625,0.0,1.0,24
